cost,displays,clicks,post_click_conversions,post_click_sales_amount,revenue
-0.24487060920860132,-0.3450620653135661,-0.21894278047757096,-0.1860275215586291,-0.1906368202290271,-0.18426721649647915
-0.18158227995650764,-0.22385098662777098,-0.19890554571674962,-0.1766172681297079,-0.17584120833961303,-0.15491833424973891
-0.16462667204660233,-0.28706785494198106,-0.12944313187923562,-0.19073264827308967,-0.19549558544730727,-0.15782539975040935
-0.2367435275285326,-0.17875447065362543,-0.1975697300660282,-0.19073264827308967,-0.19549558544730727,-0.17703944562113177
-0.15194569800738253,-0.16642445646734091,-0.15615944489366407,-0.16720701470078675,-0.14943689483793157,-0.09362241832356924
-0.23556492477406374,-0.3354342089323789,-0.209592070922521,-0.19073264827308967,-0.19549558544730727,-0.1772757341963094
-0.009420521260354628,0.10563060792653522,-0.022577879821521762,0.11039546145238786,0.05401824203450397,-0.022544564542750976
-0.24508610001072437,-0.3454935022740438,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.2330757861209691,-0.3257836453427455,-0.20692043962107817,-0.17191214141524733,-0.1868022848314045,-0.1807985820444125
-0.18110072398033472,-0.20525378291033633,-0.1908906518124211,-0.1766172681297079,-0.16944109475947022,-0.1436736575963716
-0.23151897501991697,-0.31281782931996754,-0.20825625527179958,-0.17191214141524733,-0.12324289678654632,-0.18111261058371783
-0.2381090355705571,-0.3328455871695125,-0.21894278047757096,-0.19073264827308967,-0.19549558544730727,-0.18508041743702558
-0.24225173629708566,-0.3407249885003426,-0.21760696482684955,-0.19073264827308967,-0.19549558544730727,-0.18239020552050086
-0.24389650282757577,-0.3446760427699807,-0.21894278047757096,-0.19073264827308967,-0.19549558544730727,-0.18565528401386472
-0.23295704629122785,-0.32396706866704983,-0.21894278047757096,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.24511908329676357,-0.34478957881221173,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.20399772114877512,-0.26554142133498715,-0.17886831095592828,-0.15779676127186557,-0.14349428757596877,-0.16927567815100916
-0.24494976909509547,-0.3455616238993824,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.11238994250338998,0.09171108914901697,-0.17218923270232117,-0.17191214141524733,-0.1629022598267598,-0.16652409257859416
-0.23748235313581156,-0.3356385738083947,-0.21760696482684955,-0.19073264827308967,-0.19549558544730727,-0.18509576085099816
-0.2012381195501587,-0.2905647650426953,-0.1574952605443855,-0.17191214141524733,-0.1884508374226146,-0.1339019486843714
-0.0696765870825742,0.3423759631865763,-0.08402539975470723,-0.1436813811284838,-0.14694816360700994,-0.13238806517241075
-0.22279379641967,-0.2646104257886931,-0.20024136136747103,-0.1813223948441685,-0.1929074621693449,-0.16952833303442422
-0.2416690315770591,-0.2982170942890634,-0.21092788657324243,-0.19073264827308967,-0.19549558544730727,-0.18234110659578864
-0.17503399823485052,-0.24303857776480675,-0.18153994225737113,-0.1813223948441685,-0.19387144712399312,-0.1307575717142585
-0.23725147013353687,-0.3288945328998744,-0.1868832048602568,-0.19073264827308967,-0.19549558544730727,-0.17582015565744455
-0.24484422257976993,-0.34383587605747146,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.2451102877538198,-0.34569786715005957,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.1451203566829958,0.19750397329984487,-0.16818178575015688,-0.17191214141524733,-0.12529585202725033,-0.16566383850186514
-0.22865602579171093,-0.3161557889615584,-0.17085341705159973,-0.19073264827308967,-0.19549558544730727,-0.1657691966111435
-0.24510369109661195,-0.34567515994161335,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.24357546551012715,-0.34029355153986485,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
0.014021799570601217,-0.043101607396049596,0.2753090102893556,0.02570318059209731,0.07084470500216897,0.5079151035769432
-0.22051794968296248,-0.31140998239630335,-0.20825625527179958,-0.19073264827308967,-0.19549558544730727,-0.18107169481312432
